appln_id;appln_auth;appln_nr;appln_kind;appln_filing_date;appln_filing_year;appln_nr_epodoc;appln_nr_original;ipr_type;receiving_office;internat_appln_id;int_phase;reg_phase;nat_phase;earliest_filing_date;earliest_filing_year;earliest_filing_id;earliest_publn_date;earliest_publn_year;earliest_pat_publn_id;granted;docdb_family_id;inpadoc_family_id;docdb_family_size;nb_citing_docdb_fam;nb_applicants;nb_inventors
484333397;"KR";"20170094962";"A ";2017-07-26;2017;"KR20170094962";"1020170094962";"PI";"  ";0;"N";"N";"Y";2010-12-23;2010;904379438;2017-09-06;2017;484333398;"N";46314674;8839881;19;20;1;3
492371594;"US";"201715702717";"A ";2017-09-12;2017;"US201715702717";"15702717";"PI";"  ";0;"N";"N";"Y";2016-09-12;2016;904942287;2018-03-29;2018;492371595;"N";60022165;10720783;2;0;1;3
482352401;"US";"201715498247";"A ";2017-04-26;2017;"US201715498247";"15498247";"PI";"  ";0;"N";"N";"Y";2013-08-21;2013;904655201;2017-08-10;2017;482352402;"Y";52479939;9763864;4;6;1;2
482608519;"US";"201715431713";"A ";2017-02-13;2017;"US201715431713";"15431713";"PI";"  ";0;"N";"N";"Y";2016-02-11;2016;904944979;2017-08-17;2017;482608520;"N";59561417;10674043;1;0;1;5
486385371;"US";"201715598088";"A ";2017-05-17;2017;"US201715598088";"15598088";"PI";"  ";0;"N";"N";"Y";2016-05-17;2016;903837495;2017-11-23;2017;486385372;"N";60270094;10767639;3;0;1;1
486388229;"US";"201715673405";"A ";2017-08-09;2017;"US201715673405";"15673405";"PI";"  ";415429728;"Y";"N";"Y";2012-08-20;2012;411799755;2017-11-23;2017;486388230;"Y";60955428;9404963;1;0;1;9
493794189;"US";"201715683950";"A ";2017-08-23;2017;"US201715683950";"15683950";"PI";"  ";0;"N";"N";"Y";2012-11-08;2012;904549337;2018-05-03;2018;493794190;"N";54335768;10011165;3;4;1;5
494963561;"KR";"20170139329";"A ";2017-10-25;2017;"KR20170139329";"1020170139329";"PI";"  ";0;"N";"N";"Y";2016-10-26;2016;470831096;2018-05-04;2018;494963562;"N";57208179;10910061;2;0;1;1
487669827;"US";"201715685235";"A ";2017-08-24;2017;"US201715685235";"15685235";"PI";"  ";451219627;"Y";"N";"Y";2014-10-07;2014;451219627;2017-12-21;2017;487669828;"Y";55653429;12639282;3;2;1;2
488264266;"US";"201715398826";"A ";2017-01-05;2017;"US201715398826";"15398826";"PI";"  ";0;"N";"N";"Y";2016-06-29;2016;903836166;2018-01-04;2018;488264267;"N";60806964;10816535;1;0;1;5
